Nome,UF,Pop,Confirmados,Mortes
Acre,AC,881935,48,0
Alagoas,AL,3337357,28,2
Amapá,AP,845731,29,2
Amazonas,AM,4144597,417,14
Bahia,BA,14873064,401,9
Ceará,CE,9132078,823,26
Distrito Federal,DF,3015268,468,7
Espírito Santo,ES,4018650,166,6
Goiás,GO,7018354,115,3
Maranhão,MA,7075181,96,2
Mato Grosso,MT,3484466,60,1
Mato Grosso do Sul,MS,2778986,65,1
Minas Gerais,MG,21168791,498,6
Pará,PA,8602865,86,1
Paraíba,PB,4018127,34,4
Paraná,PR,11433957,438,9
Pernambuco,PE,9557071,201,21
Piauí,PI,3273227,23,4
Rio de Janeiro,RJ,17264943,1394,64
Rio Grande do Norte,RN,3506853,242,7
Rio Grande do Sul,RS,11377239,418,7
Rondônia,RO,1777225,12,1
Roraima,RR,605761,42,1
Santa Catarina,SC,7164788,357,10
São Paulo,SP,45919049,4620,275
Sergipe,SE,2298696,32,3
Tocantins,TO,1572866,17,0
