date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-03-24,AM,Manaus,city,45,0,True,2182763,1302603,2.06161,
2020-03-24,AM,Parintins,city,2,0,True,114273,1303403,1.75019,
2020-03-24,AM,,state,47,0,True,4144597,13,1.13401,
2020-03-24,BA,Alagoinhas,city,1,0,True,151596,2900702,0.65965,
2020-03-24,BA,Barreiras,city,1,0,True,155439,2903201,0.64334,
2020-03-24,BA,Brumado,city,1,0,True,67195,2904605,1.48821,
2020-03-24,BA,Camaçari,city,1,0,True,299132,2905701,0.3343,
2020-03-24,BA,Conceição do Jacuípe,city,1,0,True,33153,2908507,3.01632,
2020-03-24,BA,Conde,city,1,0,True,25837,2908606,3.87042,
2020-03-24,BA,Feira de Santana,city,6,0,True,614872,2910800,0.97581,
2020-03-24,BA,Itabuna,city,1,0,True,213223,2914802,0.46899,
2020-03-24,BA,Jequié,city,1,0,True,155966,2918001,0.64117,
2020-03-24,BA,Juazeiro,city,2,0,True,216707,2918407,0.92291,
2020-03-24,BA,Lauro de Freitas,city,3,0,True,198440,2919207,1.51179,
2020-03-24,BA,Porto Seguro,city,8,0,True,148686,2925303,5.38047,
2020-03-24,BA,Prado,city,2,0,True,28174,2925501,7.09874,
2020-03-24,BA,Salvador,city,46,0,True,2872347,2927408,1.60148,
2020-03-24,BA,Teixeira de Freitas,city,1,0,True,160487,2931350,0.6231,
2020-03-24,BA,,state,76,0,True,14873064,29,0.51099,
2020-03-24,CE,Aquiraz,city,6,0,True,80271,2301000,7.47468,
2020-03-24,CE,Fortaleza,city,170,0,True,2669342,2304400,6.36861,
2020-03-24,CE,Fortim,city,1,0,True,16480,2304459,6.06796,
2020-03-24,CE,Importados,city,2,0,True,,,,
2020-03-24,CE,Juazeiro do Norte,city,1,0,True,274207,2307304,0.36469,
2020-03-24,CE,Mauriti,city,1,0,True,47962,2308104,2.08498,
2020-03-24,CE,Sobral,city,4,0,True,208935,2312908,1.91447,
2020-03-24,CE,,state,185,0,True,9132078,23,2.02583,
2020-03-24,DF,Brasília,city,161,161,True,3015268,5300108,5.33949,1.0
2020-03-24,DF,,state,161,161,True,3015268,53,5.33949,1.0
2020-03-24,MG,Belo Horizonte,city,87,0,True,2512070,3106200,3.46328,
2020-03-24,MG,Betim,city,1,0,True,439340,3106705,0.22761,
2020-03-24,MG,Bom Despacho,city,1,0,True,50605,3107406,1.97609,
2020-03-24,MG,Campos Altos,city,1,0,True,15461,3111507,6.46789,
2020-03-24,MG,Contagem,city,2,0,True,663855,3118601,0.30127,
2020-03-24,MG,Coronel Fabriciano,city,1,0,True,109855,3119401,0.91029,
2020-03-24,MG,Divinópolis,city,1,0,True,238230,3122306,0.41976,
2020-03-24,MG,Importados,city,2,0,True,,,,
2020-03-24,MG,Ipatinga,city,1,0,True,263410,3131307,0.37964,
2020-03-24,MG,Juiz de Fora,city,8,0,True,568873,3136702,1.40629,
2020-03-24,MG,Lagoa da Prata,city,1,0,True,52165,3137205,1.91699,
2020-03-24,MG,Mariana,city,2,0,True,60724,3140001,3.29359,
2020-03-24,MG,Nova Lima,city,7,0,True,94889,3144805,7.37704,
2020-03-24,MG,Patrocínio,city,1,0,True,90757,3148103,1.10184,
2020-03-24,MG,Poços de Caldas,city,1,0,True,167397,3151800,0.59738,
2020-03-24,MG,Sete Lagoas,city,2,0,True,239639,3167202,0.83459,
2020-03-24,MG,Timóteo,city,1,0,True,89842,3168705,1.11307,
2020-03-24,MG,Uberaba,city,3,0,True,333783,3170107,0.89879,
2020-03-24,MG,Uberlândia,city,7,0,True,691305,3170206,1.01258,
2020-03-24,MG,,state,130,0,True,21168791,31,0.61411,
2020-03-24,MS,Campo Grande,city,22,0,True,895982,5002704,2.45541,
2020-03-24,MS,Ponta Porã,city,1,0,True,92526,5006606,1.08078,
2020-03-24,MS,Sidrolândia,city,1,0,True,57665,5007901,1.73415,
2020-03-24,MS,,state,24,0,True,2778986,50,0.86362,
2020-03-24,PB,Igaracy,city,1,0,True,6117,2502607,16.34788,
2020-03-24,PB,João Pessoa,city,2,0,True,809015,2507507,0.24721,
2020-03-24,PB,,state,3,0,True,4018127,25,0.07466,
2020-03-24,PR,Campo Largo,city,1,0,True,132002,4104204,0.75756,
2020-03-24,PR,Cascavel,city,2,0,True,328454,4104808,0.60891,
2020-03-24,PR,Cianorte,city,6,0,True,82620,4105508,7.26216,
2020-03-24,PR,Colombo,city,1,0,True,243726,4105805,0.4103,
2020-03-24,PR,Curitiba,city,40,0,True,1933105,4106902,2.06921,
2020-03-24,PR,Foz do Iguaçu,city,4,0,True,258532,4108304,1.5472,
2020-03-24,PR,Guaíra,city,1,0,True,33119,4108809,3.01941,
2020-03-24,PR,Importados,city,5,0,True,,,,
2020-03-24,PR,Londrina,city,3,0,True,569733,4113700,0.52656,
2020-03-24,PR,Maringá,city,1,0,True,423666,4115200,0.23603,
2020-03-24,PR,Paranavaí,city,1,0,True,88374,4118402,1.13155,
2020-03-24,PR,Pato Branco,city,1,0,True,82881,4118501,1.20655,
2020-03-24,PR,Pinhais,city,2,0,True,132157,4119152,1.51335,
2020-03-24,PR,Ponta Grossa,city,1,0,True,351736,4119905,0.2843,
2020-03-24,PR,Telêmaco Borba,city,1,0,True,78974,4127106,1.26624,
2020-03-24,PR,,state,70,0,True,11433957,41,0.61221,
2020-03-24,RN,Mossoró,city,1,0,True,297378,2408003,0.33627,
2020-03-24,RN,Natal,city,9,0,True,884122,2408102,1.01796,
2020-03-24,RN,Parnamirim,city,4,0,True,261469,2403251,1.52982,
2020-03-24,RN,,state,14,0,True,3506853,24,0.39922,
2020-03-24,SE,Aracaju,city,12,0,True,657013,2800308,1.82645,
2020-03-24,SE,Nossa Senhora da Glória,city,1,0,True,36924,2804508,2.70827,
2020-03-24,SE,Propriá,city,2,0,True,29626,2805703,6.75083,
