regiao,estado,data,casosNovos,casosAcumulados,obitosNovos,obitosAcumulados
Norte,RO,30/1/2020,0,0,0,0
Norte,RO,31/1/2020,0,0,0,0
Norte,RO,1/2/2020,0,0,0,0
Norte,RO,2/2/2020,0,0,0,0
Norte,RO,3/2/2020,0,0,0,0
Norte,RO,4/2/2020,0,0,0,0
Norte,RO,5/2/2020,0,0,0,0
Norte,RO,6/2/2020,0,0,0,0
Norte,RO,7/2/2020,0,0,0,0
Norte,RO,8/2/2020,0,0,0,0
Norte,RO,9/2/2020,0,0,0,0
Norte,RO,10/2/2020,0,0,0,0
Norte,RO,11/2/2020,0,0,0,0
Norte,RO,12/2/2020,0,0,0,0
Norte,RO,13/2/2020,0,0,0,0
Norte,RO,14/2/2020,0,0,0,0
Norte,RO,15/2/2020,0,0,0,0
Norte,RO,16/2/2020,0,0,0,0
Norte,RO,17/2/2020,0,0,0,0
Norte,RO,18/2/2020,0,0,0,0
Norte,RO,19/2/2020,0,0,0,0
Norte,RO,20/2/2020,0,0,0,0
Norte,RO,21/2/2020,0,0,0,0
Norte,RO,22/2/2020,0,0,0,0
Norte,RO,23/2/2020,0,0,0,0
Norte,RO,24/2/2020,0,0,0,0
Norte,RO,25/2/2020,0,0,0,0
Norte,RO,26/2/2020,0,0,0,0
Norte,RO,27/2/2020,0,0,0,0
Norte,RO,28/2/2020,0,0,0,0
Norte,RO,29/2/2020,0,0,0,0
Norte,RO,1/3/2020,0,0,0,0
Norte,RO,2/3/2020,0,0,0,0
Norte,RO,3/3/2020,0,0,0,0
Norte,RO,4/3/2020,0,0,0,0
Norte,RO,5/3/2020,0,0,0,0
Norte,RO,6/3/2020,0,0,0,0
Norte,RO,7/3/2020,0,0,0,0
Norte,RO,8/3/2020,0,0,0,0
Norte,RO,9/3/2020,0,0,0,0
Norte,RO,10/3/2020,0,0,0,0
Norte,RO,11/3/2020,0,0,0,0
Norte,RO,12/3/2020,0,0,0,0
Norte,RO,13/3/2020,0,0,0,0
Norte,RO,14/3/2020,0,0,0,0
Norte,RO,15/3/2020,0,0,0,0
Norte,RO,16/3/2020,0,0,0,0
Norte,RO,17/3/2020,0,0,0,0
Norte,RO,18/3/2020,0,0,0,0
Norte,RO,19/3/2020,0,0,0,0
Norte,RO,20/3/2020,1,1,0,0
Norte,RO,21/3/2020,0,1,0,0
Norte,RO,22/3/2020,2,3,0,0
Norte,RO,23/3/2020,0,3,0,0
Norte,RO,24/3/2020,0,3,0,0
Norte,RO,25/3/2020,2,5,0,0
Norte,RO,26/3/2020,0,5,0,0
Norte,RO,27/3/2020,1,6,0,0
Norte,RO,28/3/2020,0,6,0,0
Norte,RO,29/3/2020,0,6,0,0
Norte,RO,30/3/2020,0,6,0,0
Norte,RO,31/3/2020,2,8,1,1
Norte,RO,1/4/2020,1,9,0,1
Norte,RO,2/4/2020,1,10,0,1
Norte,RO,3/4/2020,0,10,0,1
Norte,RO,4/4/2020,1,11,0,1
Norte,RO,5/4/2020,1,12,0,1
Norte,RO,6/4/2020,2,14,0,1
Norte,RO,7/4/2020,4,18,0,1
Norte,RO,8/4/2020,0,18,0,1
Norte,RO,9/4/2020,10,28,1,2
Norte,RO,10/4/2020,4,32,0,2
Norte,RO,11/4/2020,1,33,0,2
Norte,RO,12/4/2020,2,35,0,2
Norte,RO,13/4/2020,7,42,0,2
Norte,RO,14/4/2020,22,64,0,2
Norte,AC,30/1/2020,0,0,0,0
Norte,AC,31/1/2020,0,0,0,0
Norte,AC,1/2/2020,0,0,0,0
Norte,AC,2/2/2020,0,0,0,0
Norte,AC,3/2/2020,0,0,0,0
Norte,AC,4/2/2020,0,0,0,0
Norte,AC,5/2/2020,0,0,0,0
Norte,AC,6/2/2020,0,0,0,0
Norte,AC,7/2/2020,0,0,0,0
Norte,AC,8/2/2020,0,0,0,0
Norte,AC,9/2/2020,0,0,0,0
Norte,AC,10/2/2020,0,0,0,0
Norte,AC,11/2/2020,0,0,0,0
Norte,AC,12/2/2020,0,0,0,0
Norte,AC,13/2/2020,0,0,0,0
Norte,AC,14/2/2020,0,0,0,0
Norte,AC,15/2/2020,0,0,0,0
Norte,AC,16/2/2020,0,0,0,0
Norte,AC,17/2/2020,0,0,0,0
Norte,AC,18/2/2020,0,0,0,0
Norte,AC,19/2/2020,0,0,0,0
Norte,AC,20/2/2020,0,0,0,0
Norte,AC,21/2/2020,0,0,0,0
Norte,AC,22/2/2020,0,0,0,0
Norte,AC,23/2/2020,0,0,0,0
Norte,AC,24/2/2020,0,0,0,0
Norte,AC,25/2/2020,0,0,0,0
Norte,AC,26/2/2020,0,0,0,0
Norte,AC,27/2/2020,0,0,0,0
Norte,AC,28/2/2020,0,0,0,0
Norte,AC,29/2/2020,0,0,0,0
Norte,AC,1/3/2020,0,0,0,0
Norte,AC,2/3/2020,0,0,0,0
Norte,AC,3/3/2020,0,0,0,0
Norte,AC,4/3/2020,0,0,0,0
Norte,AC,5/3/2020,0,0,0,0
Norte,AC,6/3/2020,0,0,0,0
Norte,AC,7/3/2020,0,0,0,0
Norte,AC,8/3/2020,0,0,0,0
Norte,AC,9/3/2020,0,0,0,0
Norte,AC,10/3/2020,0,0,0,0
Norte,AC,11/3/2020,0,0,0,0
Norte,AC,12/3/2020,0,0,0,0
Norte,AC,13/3/2020,0,0,0,0
Norte,AC,14/3/2020,0,0,0,0
Norte,AC,15/3/2020,0,0,0,0
Norte,AC,16/3/2020,0,0,0,0
Norte,AC,17/3/2020,0,0,0,0
Norte,AC,18/3/2020,0,0,0,0
Norte,AC,19/3/2020,3,3,0,0
Norte,AC,20/3/2020,4,7,0,0
Norte,AC,21/3/2020,2,9,0,0
Norte,AC,22/3/2020,2,11,0,0
Norte,AC,23/3/2020,0,11,0,0
Norte,AC,24/3/2020,6,17,0,0
Norte,AC,25/3/2020,6,23,0,0
Norte,AC,26/3/2020,1,24,0,0
Norte,AC,27/3/2020,1,25,0,0
Norte,AC,28/3/2020,0,25,0,0
Norte,AC,29/3/2020,9,34,0,0
Norte,AC,30/3/2020,8,42,0,0
Norte,AC,31/3/2020,0,42,0,0
Norte,AC,1/4/2020,1,43,0,0
Norte,AC,2/4/2020,0,43,0,0
Norte,AC,3/4/2020,3,46,0,0
Norte,AC,4/4/2020,0,46,0,0
Norte,AC,5/4/2020,2,48,0,0
Norte,AC,6/4/2020,2,50,0,0
