,datahora,satelite,latitude,longitude,diasemchuva,precipitacao,riscofogo,frp
0,2012/01/24 16:12:00,NPP-375,-3.71442,-38.55334,,,,
0,2020/12/14 15:42:00,NOAA-20,-3.72712,-38.54442,,,,2.2
1,2020/10/01 16:18:00,NPP-375,-3.86771,-38.5324,73.0,0.0,0.9,9.8
2,2020/06/21 03:48:00,NPP-375,-3.79933,-38.6283,3.0,0.0,-999.0,0.5
3,2020/08/05 16:30:36,NOAA-20,-3.81363,-38.61469,16.0,0.0,-999.0,
4,2020/08/18 15:49:22,NOAA-20,-3.813,-38.45408,-999.0,0.0,0.6,
5,2020/08/20 16:06:00,NPP-375,-3.76054,-38.60674,31.0,0.0,-999.0,3.3
6,2020/08/20 16:06:00,NPP-375,-3.79789,-38.55696,31.0,0.0,-999.0,2.5
7,2020/08/27 16:18:18,NOAA-20,-3.82692,-38.45095,-999.0,0.0,0.7,
8,2020/08/28 16:00:43,NOAA-20,-3.76841,-38.55705,39.0,0.0,-999.0,
9,2020/08/31 16:42:24,NOAA-20,-3.85773,-38.52243,42.0,0.0,0.8,
10,2020/08/31 16:00:00,NPP-375,-3.85671,-38.52539,42.0,0.0,0.8,3.4
11,2020/09/01 16:24:16,NOAA-20,-3.80062,-38.48779,-999.0,0.0,-999.0,
12,2020/09/02 15:18:00,NPP-375,-3.78414,-38.46738,-999.0,0.0,-999.0,8.3
13,2020/09/02 15:18:00,NPP-375,-3.74088,-38.48071,-999.0,0.0,-999.0,1.9
14,2020/09/02 16:06:25,NOAA-20,-3.78336,-38.46846,-999.0,0.0,-999.0,
15,2020/09/02 16:06:25,NOAA-20,-3.78696,-38.46791,-999.0,0.0,-999.0,
16,2020/09/03 16:42:00,NPP-375,-3.82647,-38.52649,45.0,0.6,-999.0,18.0
17,2020/09/03 15:49:21,NOAA-20,-3.81402,-38.5487,45.0,0.6,-999.0,
18,2020/09/03 15:49:21,NOAA-20,-3.73072,-38.53121,45.0,0.4,-999.0,
19,2020/09/03 16:42:00,NPP-375,-3.82573,-38.5294,45.0,0.6,-999.0,8.3
20,2020/09/03 16:42:00,NPP-375,-3.82498,-38.52486,45.0,0.6,-999.0,16.6
21,2020/09/03 16:15:00,AQUA_M-T,-3.825,-38.533,45.0,0.6,-999.0,22.8
22,2020/09/03 16:15:00,AQUA_M-T,-3.824,-38.524,45.0,0.6,-999.0,30.8
23,2020/09/05 04:16:17,NOAA-20,-3.81327,-38.4669,-999.0,0.0,-999.0,
24,2020/09/05 04:16:17,NOAA-20,-3.81383,-38.46309,-999.0,0.0,-999.0,
25,2020/09/07 04:30:00,NPP-375,-3.82725,-38.60413,49.0,0.0,-999.0,0.6
26,2020/09/07 16:11:44,NOAA-20,-3.81583,-38.54759,49.0,0.0,-999.0,
27,2020/09/07 16:11:44,NOAA-20,-3.81503,-38.54261,49.0,0.0,-999.0,
28,2020/09/09 16:30:00,NPP-375,-3.85855,-38.52755,51.0,0.0,0.9,10.8
